,V1,V2,V3,HP,Volume.HP
1,0.048107959,-0.037114326,-0.112278095,-2.12260641,-0.836769681
2,0.080387616,-0.02420683,-0.095904989,-2.047209072,-0.720813533
3,0.077010707,-0.041604413,-0.074564042,-1.745618882,-0.192136821
4,0.102039897,-0.028145902,-0.054985802,-1.753996644,-0.006066936
5,0.116242876,0.002984108,-0.063660154,-1.946679289,0.073042468
6,0.112170634,-0.02810566,-0.05383648,-1.921546002,0.293552024
7,0.111872677,-0.037812454,-0.063551764,-1.636712177,-0.371463813
8,0.111177503,-0.043043343,-0.0516915,-1.418897927,-0.669478057
9,0.027746915,0.254415955,0.038945236,-1.117306896,0.453946456
10,0.018013397,0.03703001,0.098987935,-1.117306896,-0.449678279
11,0.010167026,-0.00956899,0.153735847,-0.899493487,-0.482713823
12,0.032017841,-0.020422322,0.122037264,-0.983267746,-0.432674464
13,0.046816723,0.006470206,0.123749022,-0.891114884,-0.530670138
14,0.087340128,0.001305997,0.136913774,-0.916249012,-0.488083449
15,0.126870402,0.048658472,0.125312457,-0.39684373,0.288274977
16,0.099060206,0.025089229,0.145507358,-0.388466809,-0.119230261
17,0.108297085,-0.004941038,0.161719144,-0.556016167,-0.742677786
18,0.133326274,0.012035217,0.145568983,-0.363334363,-0.434556919
19,0.093398781,0.001842626,0.196002114,-0.145520954,-0.31502102
20,0.104721482,0.010712909,0.140001734,-0.505750434,-0.212380928
21,0.102437115,0.123973802,0.137931295,-0.623035742,-0.024582887
22,0.164016739,0.216865806,0.033571241,-0.296312265,0.1413509
23,0.136107281,0.059310591,-0.084206555,-0.413599255,0.116539525
24,0.046518777,0.038516622,-0.158663269,-1.242969966,0.502921148
25,0.086744226,0.086342671,-0.135359081,-1.184328153,0.562897402
26,0.035791979,0.003817099,-0.161896727,-1.326744224,0.082377594
27,-0.049624871,0.008159325,-0.216754195,-1.762374406,-0.079883863
28,-0.004632005,0.042375952,-0.15754964,-1.544559315,0.638380765
29,-0.001652314,0.004300513,-0.104751948,-1.167572628,-0.755314923
30,-0.034031393,-0.067720176,-0.048000975,-1.402141562,0.178382804
31,0.029236835,0.006671986,-0.083316163,-0.832473912,0.220583744
32,0.033607033,-0.031653337,-0.013086885,-0.664922871,-0.675387731
33,0.007783248,-0.04667757,0.039828271,-0.631414345,-0.48384021
34,-0.005625284,-0.053758862,0.083718043,-0.522505959,-0.546408697
35,0.013245989,-0.03222366,0.085571998,-0.748698812,-0.258022749
36,0.023972777,-0.050005981,0.060610357,-0.614658821,0.574099552
