,V1,V2,V3,Percentage.Of.Drivers.Involved.In.Fatal.Collisions.Who.Were.Alcohol.Impaired,Percentage.Of.Drivers.Involved.In.Fatal.Collisions.Who.Were.Not.Distracted,Percentage.Of.Drivers.Involved.In.Fatal.Collisions.Who.Had.Not.Been.Involved.In.Any.Previous.Accidents
1,-0.237825747,0.11732584,0.118186271,-0.133719029,0.664850286,-1.253642493
2,-0.228312717,0.092713228,0.14650634,-1.107957673,0.269044474,0.757819844
3,-0.218799687,0.109341421,0.058547098,-0.523414487,-0.126761339,1.045171607
4,-0.209286657,0.239381828,-0.187536257,-0.913109944,0.532915015,0.901495725
5,-0.199773628,-0.118593958,0.050861125,-0.523414487,0.335012109,0.039440438
6,-0.190260598,-0.064161694,0.081634443,-0.523414487,-0.456599515,0.901495725
7,-0.180747568,-0.160945715,0.210578948,1.035367343,0.071141568,-0.966290731
8,-0.171234538,0.024082432,0.098456377,-0.133719029,0.071141568,1.47619925
9,-0.161721508,-0.33045662,0.028367345,-0.718262216,0.928720827,1.619875131
10,-0.152208478,0.081395955,-0.150190008,-0.328566758,0.400979744,0.757819844
11,-0.142695448,0.001795603,-0.182356181,-1.107957673,0.598882651,0.614143963
12,-0.133182418,0.066538068,0.333669104,2.009605986,-0.258696609,-0.247911324
13,-0.123669388,-0.00962555,0.066491059,-0.328566758,-0.060793703,1.332523369
14,-0.114156359,-0.096099369,0.063501377,0.645671885,0.532915015,1.045171607
15,-0.104643329,-0.038230371,-0.096652451,-0.328566758,0.598882651,0.901495725
16,-0.095130299,0.002454958,-0.213254869,-1.107957673,0.730817921,-0.247911324
17,-0.085617269,0.074070891,-0.064388968,-1.302805402,-0.588534786,-0.535263087
18,-0.076104239,0.19723783,-0.178431473,-1.49765313,-0.522567151,-1.828346018
19,-0.066591209,0.165751751,0.055403988,0.450824157,-0.852405328,1.332523369
20,-0.057078179,-0.020387347,0.093405803,-0.133719029,0.071141568,-0.678938968
21,-0.047565149,-0.110297901,0.031529824,0.255976428,-0.984340598,1.47619925
22,-0.03805212,-0.258632928,-0.135023786,0.840519614,0.071141568,-1.253642493
23,-0.02853909,-0.056421112,-0.114358865,-0.523414487,0.598882651,-1.684670137
24,-0.01902606,-0.211629606,-0.134176717,-0.328566758,0.137109203,-0.104235443
25,-0.00951303,0.062753618,-0.243526048,0.061128699,-5.008366356,1.619875131
26,0,0.010647136,0.166008335,0.645671885,0.400979744,-0.678938968
27,0.00951303,0.192238549,0.112558735,2.594149172,-0.126761339,-0.535263087
28,0.01902606,-0.03170462,-0.276765087,0.840519614,0.46694738,0.183116319
29,0.02853909,-0.039133564,0.075376282,0.255976428,0.598882651,1.47619925
30,0.03805212,-0.146227786,0.042356805,-0.133719029,0.071141568,-0.822614849
31,0.047565149,-0.160530196,-0.237596214,-0.523414487,0.005173932,-1.540994255
32,0.057078179,0.086359158,-0.186154857,-0.718262216,-1.24821114,1.332523369
33,0.066591209,-0.123837077,-0.001950599,-0.328566758,0.137109203,-1.253642493
34,0.076104239,0.030260467,0.105390489,0.061128699,0.532915015,-1.109966612
35,0.085617269,0.273713087,-0.122478077,2.204453715,0.862753192,-0.391587206
36,0.095130299,-0.063642296,-0.059779619,0.645671885,0.862753192,-0.966290731
37,0.104643329,0.135132786,0.004863364,-0.328566758,0.400979744,0.757819844
38,0.114156359,-0.109430786,0.011662091,-0.913109944,-1.24821114,0.183116319
39,0.123669388,0.075597361,0.266912231,0.061128699,0.664850286,-0.104235443
40,0.133182418,-0.168966211,0.023897514,1.4250628,0.400979744,-1.397318374
41,0.142695448,0.270380233,0.096006909,2.009605986,0.664850286,-1.109966612
42,0.152208478,0.115171739,-0.011980393,0.450824157,0.796785557,-0.391587206
43,0.161721508,0.118052997,-0.159145921,-0.328566758,-0.258696609,-1.109966612
44,0.171234538,0.114060787,0.119627569,1.4250628,0.335012109,-0.247911324
45,0.180747568,-0.164870122,0.154749483,-2.861587231,0.137109203,1.045171607
46,0.190260598,-0.086380722,-0.034154184,-0.133719029,0.664850286,0.901495725
47,0.199773628,-0.117866801,-0.197081251,-0.718262216,0.071141568,-0.104235443
48,0.209286657,-0.190593686,0.138338613,0.450824157,-0.258696609,-0.391587206
49,0.218799687,0.262499694,0.034535758,-0.523414487,0.730817921,-0.247911324
50,0.228312717,-0.081729157,0.052936166,0.450824157,-3.09530493,-0.678938968
51,0.237825747,0.041437782,0.144622379,0.255976428,-0.324664245,0.183116319
